用户名,性别,身份证号,登录地区,登录设备,消费额
yan45,1,32080019960624****,黑龙江,Android,0
tguo,女,65232519971017****,陕西,Android,29.8
shaoqiang,男,42130020010907****,湖北,Android,149.3
yan31,女,13070519980106****,山东,iOS,0
nhuang,女,51182719990212****,湖北,Android,159.3
fangmin,0,52222719931025****,吉林,Android,-
lei83,女,53090219830126****,甘肃,Android,-
xiuyingpan,女,34040019881209****,福建,iOS,0
xiongna,女,14080219971015****,山东,iOS,0
juan21,男,45090219790701****,上海,iOS,198.8
xtan,男,14070219870409****,海南,iOS,79.7
chao19,女,33082219921116****,河南,Android,79.5
zgong,男,54233019950518****,河北,iOS,119.2
szhao,女,61070020010523****,湖北,iOS,79.8
tianli,女,36072719930707****,上海市,iOS,0
jie94,女,36072819971021****,福建,Android,89.6
msun,女,14112319980730****,浙江,iOS,9.9
tao32,男,23082220001212****,北京市,Android,29.8
pingtao,男,14020020010707****,浙江,Android,19.8
xiuyingxiong,女,14102919960616****,贵州,Android,-
jing98,1,65210019880417****,吉林,iOS,149.2
laina,男,33070020010306****,河南,Android,0
guiyingcai,女,54232320001128****,吉林,Android,0
zhouguiying,女,32062120020908****,陕西,Android,29.9
yuanjun,女,43102819990516****,北京,iOS,149.2
xiazeng,男,42060719850312****,浙江,Android,99.4
xiuying01,女,65282419970721****,山东,Android,9.9
pingjiang,女,61011319900704****,广东,iOS,0
eshen,男,42102319981023****,山东,iOS,19.9
yong99,男,32060119950306****,山东,iOS,9.9
ming90,男,23030619961125****,福建,Android,0
junqiu,女,34122520010717****,福建,iOS,0
jing43,女,42080219930420****,江苏,iOS,-
juan52,女,32090219980704****,广东,iOS,-
gshi,女,23071619950725****,浙江,iOS,0
haomin,男,54242819990726****,重庆,Android,228.8
fangcao,女,33108220060717****,江苏,iOS,9.9
zhuchao,女,53232319901007****,河南,Android,0
juan96,男,54230119971117****,浙江,iOS,89.6
xujing,男,45112120010429****,福建,iOS,0
yongzhou,男,13020219921110****,天津,Android,-
yong61,男,15070119960123****,河南,iOS,865.4
xia77,女,51090020000221****,河北,iOS,0
xiulan51,女,15252819990403****,河南,iOS,0
linwei,男,53012419991105****,湖南,Android,0
vshao,男,36010520030326****,黑龙江,Android,19.9
yan49,女,21132120030108****,浙江,iOS,29.8
mingyuan,男,37110119981121****,四川,iOS,29.8
kye,女,50011520000914****,湖北,Android,79.8
fangjie,女,33032420010610****,江苏,iOS,19.9
yongbai,男,46903720050201****,山东,Android,199
xia99,女,23128219930905****,广西,Android,238.7
xiazheng,女,21040319990426****,安徽,iOS,447.6
luoguiying,男,36110220000921****,贵州,iOS,159.4
ddai,女,51132319970330****,安徽,Android,9.9
fangyi,女,51132320010216****,内蒙古,Android,199
jiewen,女,53252520040318****,上海市,iOS,0
xia14,女,32062319971012****,广东,Android,239.8
mingtan,女,14022319880830****,上海,iOS,29.9
qfeng,男,44182720030112****,甘肃,Android,229
junxue,男,13052719980505****,河南,Android,0
skong,女,52018120030827****,吉林,Android,0
min81,女,43070019960604****,江苏,Android,-
shenyang,男,36102620060110****,江西,iOS,0
ping75,男,34130119880711****,云南,Android,-
ping67,男,41102419971129****,山东,Android,0
minfan,女,50011619921229****,广东,iOS,-
lei22,0,44030019961112****,安徽,Android,49.6
wei53,男,52273119960727****,吉林,Android,69.8
txia,男,21028219990912****,广东,Android,0
fanqiang,男,44060820000203****,广东,iOS,0
odu,男,14092519960308****,云南,Android,19.8
30834,男,62070019941129****,湖北,Android,0
yaoguiying,男,64000019951003****,天津,iOS,19.8
mjia,男,33010019961118****,浙江,iOS,-
jingzhu,女,35021319961106****,江苏,iOS,29.8
fengyan,男,32070120041011****,黑龙江,Android,9.9
lma,女,51040019940609****,天津,iOS,169.3
ozou,0,65292419971223****,山东,iOS,9.9
min63,男,41172619961007****,江苏,iOS,0
dlin,女,13108219980418****,陕西,iOS,0
duxiulan,女,14082320001208****,安徽,Android,0
jie22,女,33042120001208****,山东,Android,19.9
juanwan,女,21092219880907****,上海市,iOS,139.5
yangfang,女,50010320030326****,广东,iOS,119.4
wzhong,男,45020019980904****,吉林,Android,-
xiulanliang,女,34132319980531****,山东,iOS,-
yangdai,男,62292219980101****,湖南,iOS,-
yanzhou,男,43112419971113****,上海市,iOS,99.3
yshi,男,13092919970707****,四川,iOS,0
wutao,男,36072519971117****,湖北,Android,39.8
hefang,男,62040220000722****,陕西,Android,29.8
16224,男,23078120021222****,广东,iOS,258.7
qiang26,男,34102219940426****,河南,iOS,29.8
zhoufang,男,44142219950717****,福建,Android,0
kangxiuying,1,22020220000811****,贵州,Android,19.9
renchao,男,15043019751122****,陕西,Android,0
axiao,女,44140019960507****,江苏,iOS,9.9
jie12,0,36102919990107****,云南,iOS,19.8
leilin,女,41081119981015****,福建,iOS,19.9
juan34,男,51112319750727****,湖南,Android,69.8
skang,男,13060320000831****,天津,Android,49.6
chao54,女,52273220000615****,山东,iOS,0
pingxie,女,36100219790212****,江苏,Android,119.3
uliao,男,35050420020706****,湖南,iOS,29.7
lxue,男,44530019900322****,广东,iOS,-
jiefu,女,14072519881209****,江西,iOS,0
tangjuan,女,22080119930124****,江西,Android,19.8
taohao,男,34032319970201****,陕西,iOS,79.5
gangxue,女,62082120051129****,广东,iOS,418.2
cjia,女,61042719801128****,云南,Android,19.8
fanghu,0,52272519970515****,天津,iOS,109.2
zlu,男,37068119970401****,西藏,Android,0
guofang,女,41150119980208****,河南,iOS,0
taocheng,女,53252419900717****,河北,Android,0
taoqin,男,21042119970418****,辽宁,Android,19.8
lei61,男,13020120010106****,湖南,Android,-
yangyang,女,34012319950924****,四川,Android,99.5
taoxia,女,36012119980516****,辽宁,Android,159
tcai,女,37160020030606****,上海,iOS,29.8
chenxiuying,男,53030020000923****,湖北,Android,0
qiang82,男,13050119990107****,山东,iOS,0
plu,女,22062219940331****,浙江,iOS,19.9
yong95,男,21042319961212****,四川,iOS,99.3
fengjie,女,13073120000927****,湖北,Android,19.8
changping,男,14040119910912****,广东,iOS,0
fye,女,63272119870512****,广东,iOS,59.6
chaochen,女,42080119980315****,四川,iOS,139.5
zhangjuan,女,61100219910605****,陕西,iOS,29.8
leicai,男,35021220040608****,福建,Android,0
leiluo,男,37070220030908****,山东,Android,19.8
taozhou,女,21112220000720****,广东,Android,0
zduan,女,37090320000704****,贵州,iOS,0
fangcai,0,43112519980418****,甘肃,Android,19.9
xiuying95,男,52222420001105****,江苏,Android,188.9
chao82,男,61060119990812****,湖南,Android,89.6
chengtao,男,41010519881214****,湖南,iOS,-
qinming,女,52262319991115****,山西,Android,89.6
juangong,女,52273119990825****,江西,Android,159
pinglai,女,34070320000309****,安徽,Android,248.7
qianchao,女,45030320060415****,江西,Android,0
shentao,男,62010419991207****,湖北,Android,9.9
guiyingyan,1,43042319971206****,广东,iOS,0
zhuxiuying,女,37011219960402****,广东,Android,0
yankang,男,22030119980402****,山东,iOS,0
weifan,女,65312919840607****,河南,iOS,0
qianghan,女,13092219970110****,浙江,iOS,19.9
cuilei,男,21060419980724****,福建,Android,-
xzhong,男,33052219990512****,河南,Android,109.2
pingdu,男,65402620040615****,广西,Android,19.9
pchang,男,52042520000118****,山东,iOS,99.3
ping12,女,23122419970614****,江苏,Android,0
jing37,女,33010420001231****,四川,Android,0
yjia,男,44162419960825****,江苏,iOS,-
suyang,男,43062419961020****,河北,Android,19.9
xia22,女,65292720060928****,新疆,Android,19.2
qiangwang,女,44060019990326****,山东,iOS,0
duanfang,女,36070219891216****,江西,iOS,59.6
ganglai,男,36060119970525****,河北,iOS,0
guiying40,女,34032119931004****,浙江,iOS,-
pqiao,女,41128220001114****,云南,Android,29.7
fang91,女,62292219960521****,广东,iOS,-
panguiying,男,63212119960104****,浙江,iOS,79.3
zoujun,女,21060020060421****,河南,Android,79.5
liaoping,女,13013320010621****,上海,Android,79.8
jieding,男,23120019961103****,湖北,iOS,39.8
uwen,男,44011620020626****,广东,Android,19.8
dongjun,女,54262419920820****,吉林,iOS,29.8
dxiang,女,13023019980905****,山东,iOS,29.8
qiang33,女,51052519990406****,江苏,iOS,0
xia81,男,42020420000219****,辽宁,Android,139.5
weigu,男,14043019971213****,江西,Android,9.9
zhouping,女,51113320001028****,浙江,iOS,0
yan57,1,51342319941208****,浙江,iOS,0
lei88,女,14070219970713****,广西,iOS,-
na27,女,53060119990917****,广西,Android,9.9
yiyang,女,43070019981221****,江苏,iOS,0
ycao,男,52263019990711****,湖南,Android,0
yinyang,1,37000019990401****,广西,Android,0
xia11,1,15220219930911****,湖南,Android,19.8
yong70,女,23050619970903****,重庆,Android,59.6
wei55,女,51112419940305****,山西,Android,109.6
tao58,女,22038119961101****,广西,Android,0
bailei,女,13062519930322****,河南,Android,0
liguo,女,14092620040115****,陕西,iOS,29.7
juan72,男,33038120030115****,安徽,Android,79.4
mwei,男,45033220000325****,陕西,iOS,9.9
haoxiulan,女,32011519960302****,山东,Android,109.5
jie09,男,23012920040730****,山西,iOS,0
fangyao,女,36052120011221****,广西,iOS,-
zhangyang,女,51322519940110****,江苏,iOS,-
xxia,女,34031120050609****,黑龙江,iOS,79.8
ming93,1,44018419990624****,陕西,Android,49.6
yang90,女,13043520050417****,陕西,iOS,59.6
guiying60,0,13053520000220****,天津,iOS,0
laimin,男,37052219810512****,广东,Android,49.6
tgao,女,45030419970309****,福建,Android,9.9
leiyi,女,37152619980201****,湖南,iOS,149.5
ganglei,男,52032819970328****,重庆市,iOS,0
ping86,女,14070219981031****,四川,Android,49.7
otao,女,37032119811129****,上海,Android,79.3
fangxiuying,男,23052419990820****,广东,Android,0
minxiong,女,35060019880830****,湖南,Android,19.9
qiaotao,1,42010519970926****,甘肃,iOS,0
chou,男,15092220001115****,上海,Android,9.9
yongdu,男,34152119990128****,广东,Android,248.5
leichen,女,53312420050120****,辽宁,Android,0
xiulanyu,男,46903519991114****,四川,Android,0
gzhang,男,23020019960505****,河南,iOS,-
yangkong,男,23122620050607****,广东,iOS,0
yan28,男,65012119970408****,江苏,iOS,199
minxue,女,44078319990609****,黑龙江,Android,0
ping83,0,13043219911019****,浙江,iOS,0
xulei,女,62040220001105****,广东,iOS,0
nayi,男,61100120020628****,浙江,iOS,29.9
yongyang,1,46010019971017****,河南,Android,89.6
min58,男,65282820001229****,山东,Android,169
luoxiulan,0,65282219970720****,福建,Android,9.9
jie68,女,41032819971227****,吉林,Android,9.9
yan67,男,37110019850417****,上海,iOS,49.6
rcui,女,32010520000324****,辽宁,iOS,358.3
xiatan,女,37020119950421****,福建,iOS,9.9
mochao,女,53060219961103****,广东,iOS,199
jing29,男,54262219810604****,海南,iOS,159.4
yanlu,0,43070219981009****,云南,Android,49.6
jiegu,男,45090119870405****,广东,Android,0
fyu,女,44528119990804****,广东,Android,59.7
phan,男,65302419880615****,重庆市,iOS,598.3
xugang,男,52042319991123****,河北,Android,0
qiang31,女,15252519780224****,重庆市,iOS,-
yonglu,男,53232319990203****,浙江,iOS,79.8
wangna,男,32060020011231****,湖北,iOS,-
mshen,男,14112120010921****,浙江,iOS,79.8
guyong,女,41078220011004****,广东,Android,0
leitao,女,62120119970716****,黑龙江,iOS,119.2
ufan,女,36078220020104****,浙江,iOS,149.5
liangyang,男,41092720000519****,江西,Android,0
